precinct,ballot_type,registered_voters,ballots_cast,turnout,KEITH_JUDD,MICHAEL_STEINBERG,BERNIE_SANDERS,WILLIE_WILSON,ROQUE_DE_LA_FUENTE,HILLARY_CLINTON,HENRY_HEWES,WRITE_IN,over_votes,under_votes
7957,Election_Day,380,101,26.58,,1,50,,,49,,,,1
7957,VBM,380,171,45,,,70,,1,96,1,,1,2
7958,Election_Day,156,9,5.77,,,5,,,4,,,,
7958,VBM,156,76,48.72,,,30,,,46,,,,
9001,Election_Day,125,5,4,,,5,,,,,,,
9001,VBM,125,78,62.4,,,23,,,55,,,,
9101,Election_Day,450,173,38.44,,,108,,1,62,,1,,1
9101,VBM,450,234,52,,,110,,,119,,1,,4
9102,Election_Day,508,184,36.22,,,102,,,80,1,,,1
9102,VBM,508,243,47.83,,,112,1,,125,,2,,3
9103,Election_Day,500,178,35.6,,,91,,,83,1,1,,2
9103,VBM,500,225,45,,,89,,4,126,,1,,5
9104,Election_Day,497,186,37.42,,,114,1,,71,,,,
9104,VBM,497,215,43.26,,1,98,2,1,110,,2,,1
9105,Election_Day,530,206,38.87,,1,98,,,107,,,,
9105,VBM,530,239,45.09,,,83,,,152,,2,,2
9106,Election_Day,534,219,41.01,,,114,1,,102,,1,,1
9106,VBM,534,269,50.37,,,103,,,163,,1,,2
9107,Election_Day,417,174,41.73,,,103,,,68,,,,3
9107,VBM,417,195,46.76,,3,103,1,,87,,,,1
9108,Election_Day,433,180,41.57,,,99,1,,79,,,,1
9108,VBM,433,179,41.34,,,88,,,86,,2,,3
9109,Election_Day,469,180,38.38,,,80,1,,97,,2,,
9109,VBM,469,215,45.84,,,100,,,114,,,,1
9111,Election_Day,403,162,40.2,1,1,89,,,69,,,,2
9111,VBM,403,168,41.69,,,88,,,76,,1,,3
9112,Election_Day,521,181,34.74,,,88,,,91,,,,2
9112,VBM,521,255,48.94,,,109,,,144,2,,,
9113,Election_Day,574,219,38.15,,,105,1,,112,,,,1
9113,VBM,574,266,46.34,,,116,1,,148,,,,1
9114,Election_Day,467,177,37.9,,,91,,,84,,,,2
9114,VBM,467,210,44.97,,,104,,,103,1,,,2
9115,Election_Day,510,181,35.49,,1,114,,,66,,,,
9115,VBM,510,223,43.73,,,99,,,121,2,1,,
9116,Election_Day,509,191,37.52,,,100,1,1,88,,,,1
9116,VBM,509,209,41.06,,,107,1,,97,,1,,3
9117,Election_Day,418,151,36.12,,,91,,,58,,1,,1
9117,VBM,418,211,50.48,,,86,,,120,1,,,4
9118,Election_Day,471,185,39.28,,,114,,,71,,,,
9118,VBM,471,214,45.44,,,101,1,1,104,,2,,5
9119,Election_Day,450,145,32.22,,,88,,,56,,,,1
9119,VBM,450,238,52.89,,,122,1,1,108,,2,1,3
9121,Election_Day,462,185,40.04,,,101,1,,80,,,1,2
9121,VBM,462,205,44.37,,,103,1,1,95,,2,,3
9122,Election_Day,416,143,34.38,,,88,,,54,,1,,
9122,VBM,416,211,50.72,,1,103,,,103,,1,,3
9123,Election_Day,481,185,38.46,,,113,,,71,,,,1
